,comment,sentiment_scores
56,im just gonna say that the bowls on the table filling up with marbles might be lowkey one of my favorite plot devices most films would give some stupid exposition try and explain something really fucking complex like bending a piece of paper and poking a hole through it or something not this film nolan just shows marbles filling in some bowls and keeps the film focused on what fucking matters brilliant,"{'neg': 0.041, 'neu': 0.79, 'pos': 0.169, 'compound': 0.8662}"
57,the way my sphincter exploded like the bomb when the audio cuts back in during the gymnasium applause,"{'neg': 0.086, 'neu': 0.549, 'pos': 0.365, 'compound': 0.7964}"
58,the last  minutes could be its own movie lol oppenheimer getting slammed from everyone,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}"
59,they made a avengers assemble movie for all the scientists but didnt give them each solo movies to flesh out their characters also that einstein guy seems like some bait for a prequel movie,"{'neg': 0.0, 'neu': 0.91, 'pos': 0.09, 'compound': 0.5023}"
60,that little mention of jfk voting against strauss got a good chuckle out of me,"{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.6808}"
61,i love how nolan played with the differences between the speed of light and sound during the trinity test to convey an aweinspiring visual spectacle only to be engulfed by the forcesound of it the atomic bomb was a marvelous scientific achievement but then the magnitude of this creation and the harm it will cause literally hits you like a freight train my whole theater was completely silent it was awesome to be a part of,"{'neg': 0.073, 'neu': 0.727, 'pos': 0.2, 'compound': 0.8971}"
62,the soundwave after the detonation was a genuine jump scare in my screening last night if felt like my packed theater was all together in wonder at the explosion visuals that the blast sound shocked everyone back to reality,"{'neg': 0.125, 'neu': 0.818, 'pos': 0.057, 'compound': -0.4588}"
63,i fucking loved this movie so much tragedy in this movie love emily blunts line that went something like just because you sin dont expect the world to feel sorry for you of course all the conversations with einstein were great loved rdj in the third act pacing and editing is so great i held my piss in the whole time cillian murphy and emily blunt need oscar nods imo nolan did it again,"{'neg': 0.122, 'neu': 0.637, 'pos': 0.24, 'compound': 0.9307}"
64,its funny to think that the whole barbenheimmer trend is going to convince more than one casual film goer to see a three hour dialogue heavy biopic its very good cillian murphy is phenomenal rdj kinda hijacks in the third act but thats alright i like him too love gary oldmans new schtick of im going to cover myself in some much rubber that even my mama wont recognize me,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.9488}"
65,i dont think it can be understated how powerful that last scene between einstein and oppenheimer was i was already blown away by the film but that scene will haunt me for the rest of my life ,"{'neg': 0.088, 'neu': 0.865, 'pos': 0.047, 'compound': -0.3919}"
66,everyone praising murphy and rdj yall damon was excellent,"{'neg': 0.0, 'neu': 0.493, 'pos': 0.507, 'compound': 0.802}"
